id,description,object_img
152,"
                Четыре крестьянки из деревни Лупьевский Мыс Гайнской волости Чердынского уезда  ПОКМ-10820/124 стекло     Изображение четырех женщин на фоне бревенчатой стены: на двух женщинах слева кокошники, рубахи с расшитыми на рукавах и у горла узорами, сарафаны, у женщины слева на руках вязаные варежки с узорами; на третьей женщине слева рубаха с расшитыми на рукавах и у горла узорами, сарафан, вязаные перчатки с узорами, на плечах у нее платок; на женщине справа курточка с поясом, юбка, на плечах у нее платок; головы женщин в центре повернуты в бок.",139
1677,"Фотография. Соревнования лодочников на шлюпках в районе ст. Пермь I.  ПОКМ-18496/686 фотобумага,фотопечать     Вид реку в теплое время года. На середине реки 3 лодки, управляемые гребцами.",342
1494,"Этюд. ""На каникулах"".  ПКМ-21326/40 масло,картон    Калабухов Николай Николаевич Изображение двух читающих одну книгу девочек, лежащих на лугу. На заднем плане фигурка ребенка, пасущиеся коровы.",2483
2764,"Фотонегатив пленочный. Кадр из фильма «Не для денег родившийся» (по мотивам произведения Джека Лондона). Маяковский В.В. и Бурлюк Д.Д. Город Москва, 1918 г. (снимок сделан с фотографии, хранящейся у Каменской Е.В.).  ПОКМ-18082/10 фотопленка,фотосъемка    Загуляев Евгений Николаевич (Фотограф) ",602
2572,"Тушка птицы. Вальдшнеп. Scolopax rusticola Linnaeus, 1758  ПОКМ-7504/32 таксидермия, тушка
                
             Cul-70; Pl-32; C-70; A-192 мм; Cul-дл.клюва; Pl-дл.цевки; C-дл.хвоста; A-дл.крыла;31,8х8,5х7 см; Начало ХХ века   Общий окрас тела пёстрый, с серыми, рыжими и чёрными пестринами в верхней части тела. Низ светлее с поперечными полосками.",105
667,"Фотонегатив пленочный. Пермская ГРЭС. Вид со стороны подводящего канала.  ПОКМ-17476/13 фотопленка,фотосъемка    Загуляев Михаил Евгеньевич (Фотограф) ",593
506,"Фотонегатив пленочный. Торфопредприятие «Закамское», уборка фрезерного торфа.  ПОКМ-15000/159 пленка,фотосъемка    Загуляев Евгений Николаевич (Фотограф) ",469
827,"Фотонегатив пленочный. Коми-Пермяцкий ОК ВЛКСМ. Ирина Николаевна Петухова и Ирина Николаевна Быкова.  ПОКМ-18530/73 фотопленка,фотосъемка     Парный фотопортрет в рост. На снимке молодые женщины в меховых шапках-ушанках.  Женщина слева одета в овчинный нагольный тулуп, справа - в темное пальто.",1727
2123,"Фотонегатив стеклянный. Этнография коми-пермяков. Крестьянки села Косы Чердынского уезда (вид сбоку).  ПОКМ-10820/104 стекло     Изображение трех сидящих правым боком к объективу женщин, на них кокошники (на женщинах слева и в центре) или самшур (на женщине справа), рубашки темного (на женщине слева) и светлого (на женщинах в центре и справа) цвета, сарафаны с поясами.",166
400,"Фотография. В.И. Лицман с двумя неизвестными на площади Окулова в Перми.  ПКМ-21504/14 фотопечать,фотобумага     На фоне каменных зданий и большого скопления людей вдалеке на переднем плане стоят трое мужчин, снятые по пояс. Двое из них - молодые люди в военной форме: один в  общевойсковой  со стоячим воротником, другой - в форме военного моряка - в двубортном кителе со светлой рубашкой и темным галстуком. Между ними стоит невысокий немолодой мужчина в темной шляпе и двубортном пальто.",1487
895,"Картина (олеография). «Весна в Крыму» (репродукция с картины И.Е. Крачковского из музея Александра III).  ПКМ-21331/31 олеография,бумага    Крачковский Иосиф Ефстафьевич (Автор оригинала) Пейзаж в желто-зеленых, зеленовато-голубых, розово-коричневых тонах. На переднем плане - обильно поросший травами луг с цветущими пышными белыми шапками мелкими кустарниками. На среднем плане густые и пышные купы деревьев, спускающихся по покатому склону холма (справа), кустарники с розовыми ветвями (слева), за ними высокие пирамидальные кипарисы. На дальнем плане справа участок прибрежной линии, светло-голубая гладь морского залива, дальние холмы, покрытые туманом. В глубине композиции, в центре - выглядывающий из-за пышных деревьев фрагмент фасада белокаменного здания с колоннами. По линии высокого горизонта изображение зеленовато-голубых и розовых гор, вершины которых покрыты клочьями тумана. На нижнем поле напечатанная надпись.",2609
572,"Фотонегатив стеклянный. Этнография коми-пермяков. Коми-пермячка у ручного жернова.  ПОКМ-10820/67 стекло     Изображение женщины (слева) в кокошнике и одежде светлого цвета (рубашке, сарафане, переднике), стоящей возле ручного жернова (справа), состоящего из двух мощных дисков и деревянной палки; ручная мельница расположена на деревянном столике у бревенчатой стены, под столиком деревянный табурет.",194
1356,"Изразец гладкий расписной - лицевой А/РУС-137 ПОКМ-18870/44 полива,формовка,роспись,[эмаль (белая, синяя, голубая)],глина (красная)     Изразец лицевой  с рисунком в виде сложной рамки синей эмали на белом фоне и фрагментом центрального овального медальона с изображением цветка синей эмали. (ПГУ 1706/3063, Р-1,  уч. М/52, гл. до 0,6 м)",1846
988,"Гербарий. Шиповник майский, или коричный. Rosa majalis Herrm.  ПОКМ-7925/8 расправлено,смонтировано на лист а3 формата,гербарий,высушено    Теплоухов Федор Александрович Цветущая ветвь.",2907
714,"Фотография. Пермский политехнический институт. Группа МАХП.  ПКМ-21364/73 фотопечать,фотобумага     Группа людей, расположенных в три ряда, первый ряд сидит, второй и третий стоит. На заднем плане драпировка из штор желтого, розового, коричневого цветов.",417
1474,"Фотография. Открытие зимнего спортивного сезона, посвященного памяти Героя Советского Союза В. Рылова. Диорама.  ПОКМ-18530/1140 фотопечать,фотобумага     Изображена группа мужчин и женщин разных возрастов в верхней зимней одежде, среди которых трое мужчин в военной форме. На переднем плане мемориал Вечного огня, над которым склонился мужчина, зажигающий огонь. Возле мемориала стоят две корзины с цветами. На заднем плане видна колоннада и каменное здание с узкими окнами. Фотография аннотирована.",1406
346,"Фотонегатив стеклянный. Этнография коми-пермяков. Крестьяне с ребенком.  ПОКМ-10820/207 стекло     Изображение трех стоящих человек и ребенка на фоне угла бревенчатой избы (слева) и поселения (справа): слева женщина в кокошнике и платке поверх него, теплой кофте, юбке; в центре женщина в платке, куртке, юбке, на руках у нее девочка в платке и теплой одежде; справа мужчина в теплой крестьянской одежде.",272
1487,"ПЗС. Пронизка - зооморфная А/РЖВС-578 ПОКМ-10836/464 литье по восковой модели,бронза     Изделие в виде полой, открытой снизу отливки, выполненной в виде стилизованной фигурки медведя.  На спине - втулка для продевания ремешка. Голова от передних ног и задние ноги от передних отделяются выемками полуовальной формы, из мелких деталей отмечены только уши: они имеют вид округлых выпуклостей с углублением в центре, на одном ухе вместо углубления - отверстие. Наружная поверхность тщательно отполирована.",2023
118,"Фотонегатив стеклянный. Этнография коми-пермяков. Внутренний вид двора.  ПОКМ-10820/28 стекло     Вид на высокое крытое срубное крыльцо с верандой на вертикально стоящих бревнах у бревенчатой постройки, на крышах постройки и крыльца снег; перед верандой трое мужчин в теплой крестьянской одежде, деревянные сани с сеном.",190
356,"Фотонегатив пленочный. Сцена из спектакля «Женитьба». Театр «У моста».  ПОКМ-18907/55 фотосъемка,фотопленка    Селиверстов Михаил Анатольевич ",862
1053,"Фотонегатив стеклянный. Этнография коми-пермяков. Женщины в кокошниках: две женщины слева из деревни Кривцы Гайнской волости, женщина справа из деревни Мыковской Косинской волости (вид спереди).  ПОКМ-10820/110 стекло     Изображение трех женщин в украшенных бисером кокошниках, теплых зипунах темного цвета, на плечах женщины слева платок.",327
2126,"Фотография. Комсомольский актив Ленинского района г. Перми  с Г.К. Жуковым, маршалом Советского Союза.  ПОКМ-18530/525 фотобумага,фотопечать     Фотография состоит из двух частей, склеенных на обороте и составляющих вместе единое изображение. Изображена большая группа мужчин и женщин, сидящих и стоящих в пять рядов на фоне стен в помещении. Несколько мужчин в военной форме. Первый ряд сидит, остальные - стоят. В центре первого ряда сидит мужчина в маршальском мундире с тремя Звездами Героя Советского Союза. На стене слева картина с изображением В.И. Ленина. На стене справа, возле двери, часы. Фотография аннотирована.",1662
453,"Винтовка системы Мосина, учебная, образца 1891 г. (разрез). ОР-131 ПОКМ-4684 металл,дерево,производство промышленное    Мосин Сергей Иванович (конструктор) Винтовка образца 1891 г. Ствол нарезной, круглый в диаметре. В задней части ствола патронник с гладкими стенками. Ствольная коробка шестигранная. Есть магазинная коробка. Затвор скользящий, с поворотом для запирания. Ложа цельная, шейка прямая. Цевье длинное, крепится к стволу с помощью двух ложевых колец. Прицел ступенчатый, градуированный. Прибор железный. Винтовка имеет продольный разрез затвора, магазина и патронника. Шомпол стальной.",2663
115,"Фотооткрытка. Аммосовы Николай Иванович, Мария Ипполитовна, Нонна и Вадим.  ПОКМ-17615/12 фотопечать,фотобумага    Тарасов Александр Григорьевич (Фотограф) Изображение в рост мужчины, женщины и двух детей, одетых в зимние одежды.",711
2034,"Ядро, пушечное.  ПОКМ-4745/2 металл,литье     ",2373
1440,"Фотонегатив пленочный. Начало строительства очистных сооружений на Пермском НПК.  ПОКМ-15007/98 фотосъемка,пленка    Загуляев Евгений Николаевич (Фотограф) ",1052
149,"Фотография. Екатерино-Петровское училище.  ПОКМ-10927/6 фотопечать,картон,фотобумага    [Якунин Александр Александрович] (Фотограф) Зимний пейзаж. Виден боковой фасад здания, на фронтоне которого написано: ""заложено 1901 (?)  Екатерино-Петровское училище окончено 1903"".",1379
1382,"Гербарий. Шиповник игольчатый. Rosa acicularis Lindl.  ПОКМ-7925/51 смонтировано на лист а3 формата,гербарий,высушено,расправлено    Теплоухов Федор Александрович Две цветущие ветви.",2905
2344,"Фотография. Александр Алексеевич Дмитриев.  ПОКМ-19233/2 фотобумага,картон,фотопечать    Федоров Алексей Федорович (Фотограф) ",1541
735,"Гербарий. Очанка коротковолосая. Euphrasia brevipila L.  ПОКМ-7190/154 гербарий,высушено,расправлено,смонтировано на лист а3 формата    Теплоухов Федор Александрович Пять цветущих растений",2746
2478,"Монета ДМ/Н-1114 ПОКМ-3873/17 серебро; штамповка d - 22 мм 1810 г. г. Санкт-Петербург  Монета круглая с двухсторонней чеканкой, со следами брака на аверсе в виде выпуклой полосы (результат раскола штемпеля ?) . в центре расположен герб Российской империи: двуглавый орел с тремя коронами над головами, скипетром и державой в лапах. Детали изображения стерты. Под лапами орла буквы «ФГ», надпись: «1810». По краю монеты – буртик. в центре надпись: ""20  копѣекъ   С.П.Б."" окружена венком из дубовых и лавровых листьев. Сверху - императорская корона. Детали изображения сглажены. По краю – буртик. пунктир",6
1589,"Фотография. Ю. Дружинина.  ПОКМ-19233/25 фотобумага,картон,фотопечать    Якунин Александр Александрович (Фотограф) ",1526
915,"Фотооткрытка. Демонстрация в Перми. ДИ/ФК-171 ПОКМ-11660/2 фотобумага,фотопечать     Вид сверху на заснеженную дорогу, по которой движется длинная колонна людей. На дальнем плане - возвышенность, усадебные постройки, ограды, деревья.",447
1769,"ПЗС. Пронизка стержневидная горизонтальная с зооморфным декором А/РЖВС-3197 ПОКМ-11366/102 литье,бронза     Пронизка горизонтальная в виде изогнутого дугой стержня со сквозным вертикальным отверстием в центре. Поверхность стержня покрыта косыми насечками, образующими узор ""елочка"" - имитация плетения из проволоки. Концы стержня украшены стилизованными головками животных: мордочки вытянутые округлые, выделены крупные закругленные ушки, головки отделены двумя кольцевыми валиками.",2093
1453,"Этюд. «Натюрморт с овощами».  ПКМ-21438/30 масло,картон    Кирьянова Н. Постановочный учебный натюрморт: расположенные на коричневой горизонтальной поверхности на фоне нейтральных стен и свисающего задрапированного полотенца деревянная тарелка, черный кувшин с глянцевой поверхностью, овощи (качан капусты, ярко-красные и оранжевые перцы, розовый чеснок).",2634
2040,"Фотография. Г. Пермь. Комсомольский проспект с видом на «Муравейник».  ПОКМ-19594/84 фотобумага,фотопечать     .",820
173,"Фотография. ""В мастерской художника А. Репина"". №1  ПКМ-21568/1 фотобумага,фотопечать (черно-белая)     Портрет пожилого человека (А.И. Репина) в очках, светлой рубашке в клетку в интерьере мастерской, на стенах которой развешено множество картин.",700
2076,"ПЗС. Подвеска шумящая коньковая  ПКМ-21118/111 гнутие металла,волочение,литье,бронза,медь     Подвеска шумящая коньковая двухсторонняя прорезная. Верхняя половина основы оформлена в виде двух конских головок на длинных изогнутых шеях, развернутых в противоположные стороны, гривы обозначены короткими поперечными насечками, с помощью коротких стерженьков морды коней соединяются с основой. Ниже идут три поперечных прямых бороздки, под ними - ряд из пяти круглых отверстий для крепления цепочек. Цепочки состоят из шести овальных проволочных звеньев, на концах - привески в виде конусовидных колокольчиков. В верхней части подвесок, между шеями коньков имеется кольцевидная петелька для подвешивания, в ней сохранился привязанный фрагмент кожаного ремешка. (погр. 51 [28], № Д. - 314)",2051
1930,"Фотография. Поэт Б. Ширшов и Г.И. Демченко - художник.  ПОКМ-18872/110 фотобумага,фотопечать     ",497
861,"Фотография. IX-й выпуск врачей медфака Пермского Государственного Университета.  ПОКМ-19355/51 картон,фотобумага,фотопечать,клей     ",726
1714,"ПЗС. Кресало с бронзовой рукоятью  ПКМ-21222/548 железо,бронза,литье,ковка     Кресало в виде железной прямоугольной полосы вставлено в бронзовую рукоять. Рукоять плоская двухсторонняя прорезная, образована изображенными до половины туловища сопоставленными фигурками животных (медведи-?). Животные соприкасаются концами морд и поднятыми вверх передними лапами. Между лапами и туловищем - овальные отверстия. (Д.- № 3052 [8], погр. 138)",1924
268,"Шашка офицерская Туркменского конного дивизиона, образца 1895 г. ОР-78 ПОКМ-4631 сталь,рог,производство промышленное     Клинок средней кривизны,  без долов, однолезвийный. Рукоять костяная из двух щечек, скрепленных заклепками с хвостовиком клинка. Головка изогнута в сторону лезвия. Крестовина с ромбовидным перекрестьем, прямая, с шишечками на концах; верхние концы перекрестья утоплены в щечках рукояти.",2183
634,"Фотография. Копылова Д.Т. с Иконниковой Р.  ПКМ-21169/41 фотопечать,картон (паспарту),фотобумага    Тарасов А. (Фотограф) Студийный снимок. Около скамейки стоит (анфас) женщина в темной блузке в крапинку, рукав 3/4 на манжете, по центру ряд светлых пуговиц, темной юбке с широким кожаным поясом с пряжкой. Левая рука лежит на спинке  скамейки, в руках - маленькая сумочка на цепочке. Рядом с ней на скамейке сидит (поворот 3/4 влево) женщина в темной блузке с длинным рукавом, с двумя рядами пуговиц по центру лифа и рукава, в темной юбке с широкой оборкой по низу, поясом с пряжкой. На ее левой руке обручальное кольцо, на коленях - листы бумаги.",1225
2774,"Совня, самодельная. ОР-140 ПОКМ-4693 кустарное производство,железо,дерево,ковка     Клинок однолезвийный с небольшим загибом на конце. Перекрестье прямое с кольцом на одном и крючком на другом конце. Древко круглое в сечении, у перекрестья стянуто металлической полосой - хомутом.",2412
4,"Изразец гладкий расписной - карниз А/РУС-126 ПОКМ-18870/33 эмалирование,роспись,формовка,глина (красная,эмаль (белая, синяя     Карниз печной, лицевая поверхность выпуклая, роспись в виде выступающих точек синей эмали, румпа коробчатая (ПГУ 1706/3094. Р-1, уч. Р/50, гл. до 0,6 м)
",1800
1087,"Картина. ""Караванный бунт в Кудымкаре 19 февраля 1861 г"". ИЗО/ЖГБ-118 ПОКМ-4138 холст,масло    Крохалев И. Сюжетная картина в холодных голубых, коричневых, синих, сине-зеленых тонах. Изображена широкая сельская улица. На дороге толпа людей в крестьянской одежде, вооруженных палками, которыми они замахиваются на мужчину в синем зипуне и форменной шапке. Справа, в раскрытые ворота виден строй жандармов. Живопись в примитивистской манере.",2548
157,"Нож таджикский, охотничий. ОР-107 ПОКМ-4660/1 кустарное производство,бирюза,кость,сталь     Клинок прямой, однолезвийный, с одним широким долом, с ребром по обуху. Лезвие резко выгнуто к пяте, сужаясь к острию. На пяте, с обеих сторон накладки, треугольные в сечении, декорированные насечкой. Рукоять выполнена из кости, просверленной в центре, надетой на хвостовик. Инкрустирована натуральными камнями.",2435
1210,"Кинжал - бебут солдатский, образца 1907 г. ОР-49 ПОКМ-4602 дерево,сталь,ковка,латунь      Клинок стальной, обоюдоострый, слабо изогнутый, с двумя узкими долами с каждой стороны. Рукоять фигурная, узкая в средней части. Втулка фигурная (удерживается заклепкой). Щечки деревянные, накладные, скрепленные двумя латунными заклёпками.",2234
1315,"Фотография. В.В. Кузнецов с родственниками и друзьями за праздничным столом в день своего 50-летия.  ПКМ-21546/160 фотопечать,фотобумага     Изображение группы людей за праздничным столом. Слева у окна пальма. Фотография черно-белая.",1262
144,"Фотография. Юбилейное заседание в клубе Дзержинского завода к 100-летию В.И. Ленина. Президиум. На трибуне директор ПОКМ Дворсон Л.Г.  ПОКМ-11866/7 фотопечать,фотобумага     ",677
1005,"Фотонегатив пленочный. Вручение Ордена Ленина и Звезды ГСТ на областном совещании передовиков производства - победителей соревнования за 1973 год.  ПОКМ-15021/31 фотосъемка,пленка    Кондаков Ю. М. (Фотограф) Изображение двух мужчин на сцене, на переднем плане стоит стол, на котором стоят цветы. Чуть подальше на сцене стоят двое мужчин и жмут друг другу руки. один другому что-то вручает. На заднем плане видна часть зрительного зала. Вид со сцены.",1003
1910,"Монета 2 копейки 1816 г. А/РУС-304 ПКМ-21218/15 медь; штамповка Д- 29 мм. 1816 г.  правление Александра 1  АВЕРС: В центре поля - герб России второй разновидности: двуглавый орел держит в лапах знаки царской власти - скипетр и державу; над орлом размещена корона. На груди орла - московский герб (всадник, поражающий копьем дракона), на плечах орла - цепь с крестом ордена Андрея Первозванного. Под лапами орла литеры ""Н"" и ""М"" (""Николай Мунд"" - минцмейстер), ниже - дата ""1816"". По краю - точечный ободок и бортик. РЕВЕРС: В центре номинал в три строчки: ""2. / КОПЕЙ / КИ"". Вокруг лавровый венок сверху корона. Под обрезом  литеры ""Е.М."" (""екатеринбургская монета"") - обозначение Екатеринбургского монетного двора. ГУРТ: гладкий. (Р-4. Уч. Г΄\20, гл. 1,9 м)",88
2159,"Винтовка пистонная, с капсюльным замком, образца 1854 г. ОР-127 ПОКМ-4680 сталь,дерево,латунь,производство промышленное     Ствол стальной, круглый в сечении с четырьмя нарезами, с прицельной планкой и мушкой. В казенной части сверху обработан на пять граней. Замок в шейку. Ложа березовая, прямая, выкрашена в черный цвет. Цевье длинное. Приклад со щекой. Прибор латунный. Шомпол железный.",2212
836,"Изразец гладкий расписной ""пермский"" - стенной угловой А/РУС-407 ПКМ-21175/18 глина (красная грубо-кирпичная),эмаль (белая, синяя),формовка,роспись,эмалирование     Фрагмент угловой части лицевой пластины стенного изразца из красной грубо-кирпичной глины. Лицевая пластина покрыта белой эмалью . Поверх эмали роспись темно-синей эмалью в виде пересекающихся полос.  (ПГУ 1713. Р-7, уч. Ч'/11, гл. - 0,3 м)",1740
2601,"Фотонегатив пленочный. Судозавод «Кама», приступил к строительству насосных станций для засушливых районов страны (макет).  ПОКМ-15000/89 фотосъемка,пленка    Загуляев Евгений Николаевич (Фотограф) Изображение макета корабля, на борту написано «РМ-2Э». Вид сбоку.",1160
763,"Фотография. Губины: Михаил Федорович, Дарья Тимофеевна, Федор (?)  ПКМ-21169/50 фотопечать,картон (паспарту),фотобумага    Бурдин С. П. (Фотограф) Двое мужчин сидят в креслах. Слева - молодой мужчина с небольшими усами, в темном костюме-тройке, светлой рубашке-косоворотке, ботинках. Справа - мужчина средних лет с бородкой, усами, в темном двубортном «зипуне», светлой рубашке, брюках, ботинках. За мужчинами по центру стоит молодая женщина в темном однобортном демисезонном пальто, с сережками в форме колец.",1228
217,"Гербарий. Касатик сибирский, или Ирис сибирский. Iris sibirica L.  ПОКМ-7190/33 гербарий,высушено,расправлено,смонтировано на лист а3 формата    Теплоухов Федор Александрович Цветущее растение",2749
1787,"Фотонегатив пленочный. Пермь-250. «Ворота города».  ПОКМ-15000/162 пленка,фотосъемка    Загуляев Евгений Николаевич (Фотограф) ",470
1633,"Фотография. IX группа школы №14. Выпуск 1929 г.  ПКМ-21093/69 фотобумага,картон,клей,фотопечать,рукопись,карандаши цветные,ручка шариковая фиолетовая     Изображение группы школьников с учителями, расположившихся в 5 рядов.",460
2782,"Фотография. С.К. Наугольных.  ПОКМ-19233/43 фотобумага,картон,фотопечать    Федоров Алексей Федорович (Фотограф) ",1543
243,"Фотонегатив стеклянный. Этнография коми-пермяков. Боронование бороной-суковаткой.  ПОКМ-10820/65 стекло     Изображение лошади (справа), запряженной в деревянную борону-суковатку (слева), за ней изгородь, далее лес; на земле островки снега, замерзшая трава.",171
739,"ПЗС. Подвеска шумящая с головой медведя на щитке  ПКМ-21245/108 литье,бронза     Основа шумящей подвески арочной формы с рельефным изображением головы медведя, контур головы подчеркнут двумя круглыми отверстиями по бокам челюсти. Вверху - кольцевидное ушко для подвешивания, внизу - 4 петельки для шумящих привесок (Д. № 187 [6], погр. 244).",2179
293,"Гербарий. Шиповник игольчатый. Rosa acicularis Lindl.  ПОКМ-7925/70 смонтировано на лист а3 формата,гербарий,высушено,расправлено    Теплоухов Федор Александрович Цветущая ветвь.",2883
1586,"Фотография. Профилактика коллекции одежды во дворе здания Пермского областного краеведческого музея.  ПОКМ-19814/150 фотобумага,фотопечать     Изображены три женщины и мужчина в старинных костюмах во дворе, окруженном строениями.",1592
1070,"ПЗС. Пронизка ""кричащая птица""  ПОКМ-11372/10 литье по восковой модели,бронза     Полая объемная прорезная отливка в виде птицы с головой хищного животного, выше спины и ниже лап имеет вид граненой трубочки с гладкими кольцевыми валиками на концах. Голова (волчья или собачья) на изогнутой шее поднята вверх, пасть открыта, выделены длинные клыки, глаза и ноздри подчеркнуты углубленным контуром, длинные уши отведены назад, декорированы цепочкой ""жемчужин"". Туловище птичье, крылья сложены на спине, декорированы цепочкой ""жемчужин"", хвост опущен вниз, оперение подчеркнуто двумя продольными желобками. Лапы с длинными когтями охватывают трубочку, круглая пятка выделена углубленным контуром.",2150
1014,"Тушка птицы. Полевой лунь. Circus cyaneus (Linnaeus, 1766) ЕИК/З-283 ПОКМ-7508/36 таксидермия,тушка    Теплоухов Федор Александрович Хвост полосатый с белой полосой на основании хвоста. Верх буроватый, низ светлый с тонкими пестринами. Тушка не набита.",2955
2334,"Фотография. Курдюкова Валентина Пантелеймоновна (3-я слева) среди врачей областной больницы.  ПКМ-21189/55 фотопечать,фотобумага     Изображение группы из 13 женщин и 2 мужчин в белых халатах, расположившихся в два ряда на фоне кустарников и деревьев. Первый ряд сидит, второй стоит.",1244
1425,"Фотография. Установка мотора после чистки.  ПОКМ-11453/358 клей,фотопечать,картон,фотобумага     ",913
485,"Фотография. Анатолий Шилов и Георгий Чагин за обработкой коллекции Теплоуховых в фондах Пермского областного краеведческого музея .  ПОКМ-19814/166 фотобумага,фотопечать     Изображены по пояс двое темноволосых мужчин возле прямоугольного стола. Перед мужчиной слева стоит небольшой ящик с предметами, перед мужчиной справа лежит лист бумаги, в правой руке - ручка.",1580
1381,"Фотография. Участники 3-й Окружной Конференции РКП (б)  ПОКМ-11453/423 картон,фотопечать,клей,фотобумага     ",877
328,"Картина. ""Камбумкомбинат. Постройка здания"". ИЗО/ЖГБ-68 ПОКМ-4084 холст,масло    Неизвестный художник Летний индустриальный пейзаж. В центре композиции - освещенные солнцем промышленные постройки - одноэтажные деревянные с двускатными серо-голубыми крышами, за ними многоэтажные из красного кирпича. На переднем плане, на поросшей травой строительной площадке - группа рабочих, стоящих в ряд на распиловке бревна, установленного на козлах. Горизонт перекрыт. Темно-голубое небо.",2537
1805,"Фотография. Г. Пермь. Агентство «Аэрофлота» по ул. Большевистской.  ПОКМ-19594/73 фотобумага,фотопечать     .",819
26,"Этюд. ""Зимний день"".  ПОКМ-19723/13 масло,картон    Новиньков Юрий Алексеевич Зимний солнечный пейзаж в нежно-голубых, зеленовато-серых, розовато-коричневых тонах. Заснеженная местность с высокими холмами, у подножия которых стоят в ряд деревянные дома. В центре композиции, на вершине холма высокая красно-кирпичная колокольня рядом с белокаменной церковью. Высокое голубое небо.",2574
2944,"ПЗС. Наконечник ремня ажурный  ПОКМ-10301/105 литье,бронза     Наконечник ремня плоский ажурный, один конец закруглен, противоположный - волнистый, из трех округлых выступов. К ремню крепился при помощи прилитых штифтов. Наконечник украшен сложной композицией: впереди изображен идущий (бегущий) олень с роскошными рогами, нижний отросток соприкасается со спиной, позади оленя - фигура хищного животного с раскрытой пастью, лапы немного согнуты, хвост с кисточкой поднят вверх. Возможно, изображен лев. Из спины его как бы вырастает стилизованное дерево.",2019
2735,"Гербарий. Фиалка высокая. Viola elatior Fr., 1828 ЕИК/Б-7 ПОКМ-7941/7 гербарий,расправлено,высушено,смонтировано на лист А3 формата    Теплоухов Федор Александрович На гербарном листе 1 целое цветущее растение. На облиственном побеге 7 мелких цветков желтого и темно-фиолетового цвета.",2674
190,"Фотография. Дом № 21 по ул. Газеты «Звезда».  ПОКМ-19814/1420 фотопечать,фотобумага     Изображен двухэтажный дом с рядами окон. Вдоль стены дома низкая металлическая ограда. Перед домом растут деревья и стоят столбы. На переднем плане тротуар, на котором лежит снег, и дорога. Справа от дома виднеется часть улицы с дорогой, тротуаром и двухэтажными домами старой постройки.",1449
